dátum;nagydíj;helyezés;befejezett_kör;pont;konstruktőr;Célba_ért;körhátrány;Hiba_oka
2018.11.25;Abu-Dzabi Nagydíj;;6;0;Ferrari;N;;Teljesítményveszteség
2019.03.17;Ausztrál Nagydíj;8;57;4;Alfa Romeo;I;1;
2019.03.31;Bahreini Nagydíj;7;57;6;Alfa Romeo;I;0;
2019.04.14;Kínai Nagydíj;9;55;2;Alfa Romeo;I;1;
2019.04.28;Azerbajdzsáni Nagydíj;10;50;1;Alfa Romeo;I;1;
2019.05.12;Spanyol Nagydíj;14;66;0;Alfa Romeo;I;0;
2019.05.26;Monacói Nagydíj;17;77;0;Alfa Romeo;I;1;
2019.06.09;Kanadai Nagydíj;15;69;0;Alfa Romeo;I;1;
2019.06.23;Francia Nagydíj;7;52;6;Alfa Romeo;I;1;
2019.06.30;Osztrák Nagydíj;9;70;2;Alfa Romeo;I;1;
2019.07.14;Brit Nagydíj;8;52;4;Alfa Romeo;I;0;
2019.07.28;Német Nagydíj;12;64;0;Alfa Romeo;I;0;
2019.08.04;Magyar Nagydíj;7;69;6;Alfa Romeo;I;1;
2019.09.01;Belga Nagydíj;16;43;0;Alfa Romeo;I;1;
2019.09.08;Olasz Nagydíj;15;52;0;Alfa Romeo;I;1;
2019.09.22;Szingapúri Nagydíj;;49;0;Alfa Romeo;N;;Ütközés
